,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
387,603000.SH,20231113,31.97,33.8,31.68,33.07,31.49,1.58,5.0175,590753.3,1952091.456,33.07,5.3428,12.298,1.59,117.8758,136.0293,10.471,18.4881,18.0521,0.3175,0.4929,110569.1056,110569.1056,48036.5035,3656520.3222,3656520.3222
388,603000.SH,20231110,32.31,32.31,31.42,31.49,32.46,-0.97,-2.9883,295354.12,935263.563,31.49,2.6712,6.1485,0.74,112.244,129.5301,9.9707,17.6048,17.1896,0.3334,0.5176,110569.1056,110569.1056,48036.5035,3481821.1353,3481821.1353
389,603000.SH,20231109,33.07,33.47,32.33,32.46,33.19,-0.73,-2.1995,339250.91,1110491.301,32.46,3.0682,7.0624,0.78,115.7015,133.5201,10.2778,18.1471,17.7191,0.3235,0.5022,110569.1056,110569.1056,48036.5035,3589073.1678,3589073.1678
390,603000.SH,20231108,33.0,33.97,32.94,33.19,33.28,-0.09,-0.2704,418183.21,1401157.723,33.19,3.7821,8.7055,0.99,118.3035,136.5229,10.509,18.5552,18.1176,0.3164,0.4911,110569.1056,110569.1056,48036.5035,3669788.6149,3669788.6149
391,603000.SH,20231107,33.2,33.48,32.8,33.28,33.6,-0.32,-0.9524,354666.56,1174127.529,33.28,3.2076,7.3833,0.86,118.6243,136.8931,10.5375,18.6055,18.1667,0.3155,0.4898,110569.1056,110569.1056,48036.5035,3679739.8344,3679739.8344
392,603000.SH,20231106,32.71,33.95,32.62,33.6,32.71,0.89,2.7209,452200.87,1507555.023,33.6,4.0898,9.4137,1.18,119.765,138.2093,10.6388,18.7844,18.3414,0.3125,0.4851,110569.1056,110569.1056,48036.5035,3715121.9482,3715121.9482
393,603000.SH,20231103,33.01,33.5,32.4,32.71,33.56,-0.85,-2.5328,418997.87,1378890.912,32.71,3.7895,8.7225,1.13,116.5926,134.5484,10.357,18.2868,17.8556,0.321,0.4983,110569.1056,110569.1056,48036.5035,3616715.4442,3616715.4442
394,603000.SH,20231102,32.81,34.34,32.68,33.56,32.85,0.71,2.1613,541294.11,1806369.775,33.56,4.8955,11.2684,1.64,119.6224,138.0448,10.6261,18.762,18.3195,0.3129,0.4857,110569.1056,110569.1056,48036.5035,3710699.1839,3710699.1839
395,603000.SH,20231101,32.0,33.18,31.81,32.85,32.4,0.45,1.3889,346720.66,1130840.438,32.85,3.1358,7.2179,0.97,117.0916,135.1243,10.4013,18.3651,17.932,0.3196,0.4962,110569.1056,110569.1056,48036.5035,3632195.119,3632195.119
396,603000.SH,20231031,32.25,33.17,31.7,32.4,32.26,0.14,0.434,312942.44,1016559.007,32.4,2.8303,6.5147,0.75,115.4876,133.2733,10.2588,18.1135,17.6863,0.3241,0.5031,110569.1056,110569.1056,48036.5035,3582439.0214,3582439.0214
397,603000.SH,20231030,31.88,32.6,31.5,32.26,31.97,0.29,0.9071,303025.86,974498.052,32.26,2.7406,6.3082,0.68,114.9886,132.6974,10.2145,18.0353,17.6099,0.3255,0.5053,110569.1056,110569.1056,48036.5035,3566959.3467,3566959.3467
398,603000.SH,20231027,31.65,32.25,30.89,31.97,31.7,0.27,0.8517,344576.29,1088291.29,31.97,3.1164,7.1732,0.7,113.9549,131.5045,10.1227,17.8731,17.4516,0.3284,0.5099,110569.1056,110569.1056,48036.5035,3534894.306,3534894.306
