股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20210430,week,10.94,11.26,10.57,10.65,10.95,8.7,8.95,8.4,8.47,78.8,81.11,76.14,76.71,627191.75,687073.31,-0.3,-0.03
600580.SH,20210423,week,10.68,11.12,10.68,10.95,10.7,8.49,8.84,8.49,8.7,76.93,80.1,76.93,78.87,584282.48,639837.24,0.25,0.02
600580.SH,20210416,week,10.94,10.95,10.23,10.7,10.99,8.7,8.7,8.13,8.51,78.8,78.87,73.69,77.07,557946.2,588297.97,-0.29,-0.03
600580.SH,20210409,week,11.22,11.35,10.94,10.99,11.25,8.92,9.02,8.7,8.74,80.82,81.75,78.8,79.16,431624.83,479229.98,-0.26,-0.02
600580.SH,20210402,week,11.01,11.29,10.76,11.25,11.06,8.75,8.98,8.55,8.94,79.31,81.32,77.5,81.03,526667.53,580225.54,0.19,0.02
600580.SH,20210326,week,11.06,11.55,10.79,11.06,11.08,8.79,9.18,8.58,8.79,79.67,83.19,77.72,79.67,616913.07,685253.83,-0.02,0.0
600580.SH,20210319,week,11.51,11.61,11.04,11.08,11.53,9.15,9.23,8.78,8.81,82.91,83.63,79.52,79.81,591797.41,670547.75,-0.45,-0.04
600580.SH,20210312,week,12.06,12.18,11.22,11.53,11.99,9.59,9.68,8.92,9.17,86.87,87.73,80.82,83.05,763008.08,889858.44,-0.46,-0.04
600580.SH,20210305,week,11.83,12.38,11.78,11.99,11.76,9.4,9.84,9.36,9.53,85.21,89.17,84.85,86.36,865295.93,1046248.18,0.23,0.02
600580.SH,20210226,week,12.57,12.65,11.54,11.76,12.57,9.99,10.06,9.17,9.35,90.54,91.12,83.12,84.71,1093416.93,1326685.14,-0.81,-0.06
600580.SH,20210219,week,12.1,12.64,12.02,12.57,11.9,9.62,10.05,9.56,9.99,87.16,91.05,86.58,90.54,435809.06,536748.83,0.67,0.06
600580.SH,20210212,week,11.59,12.12,11.41,11.9,11.25,9.21,9.63,9.07,9.46,83.48,87.3,82.19,85.72,874564.49,1029813.32,0.65,0.06
600580.SH,20210205,week,12.37,12.7,11.23,11.25,12.31,9.83,10.1,8.93,8.94,89.1,91.48,80.89,81.03,1364199.63,1644901.29,-1.06,-0.09
600580.SH,20210129,week,13.8,14.08,12.18,12.31,13.92,10.97,11.19,9.68,9.79,99.4,101.42,87.73,88.67,1728690.88,2301149.53,-1.61,-0.12
600580.SH,20210122,week,14.45,14.65,13.78,13.92,14.44,11.49,11.65,10.95,11.07,104.08,105.52,99.26,100.27,1555950.09,2218389.2,-0.52,-0.04
600580.SH,20210115,week,15.4,16.05,14.09,14.44,15.34,12.24,12.76,11.2,11.48,110.93,115.61,101.49,104.01,2247487.56,3379763.42,-0.9,-0.06
600580.SH,20210108,week,15.69,16.44,15.18,15.34,15.6,12.47,13.07,12.07,12.19,113.02,118.42,109.34,110.49,2560339.47,4057389.21,-0.26,-0.02
600580.SH,20210101,week,15.06,15.88,14.55,15.6,15.19,11.97,12.62,11.57,12.4,108.48,114.39,104.81,112.37,2066738.15,3148707.23,0.41,0.03
600580.SH,20201225,week,14.37,15.37,14.2,15.19,14.28,11.42,12.22,11.29,12.08,103.51,110.71,102.29,109.42,2731360.98,4008847.93,0.91,0.06
600580.SH,20201218,week,13.91,14.49,12.96,14.28,13.92,11.06,11.52,10.3,11.35,100.2,104.37,93.35,102.86,1879725.34,2615437.81,0.36,0.03
600580.SH,20201211,week,14.36,15.11,13.7,13.92,14.3,11.42,12.01,10.89,11.07,103.44,108.84,98.68,100.27,2019132.07,2902623.38,-0.38,-0.03
600580.SH,20201204,week,13.48,15.08,13.11,14.3,13.36,10.72,11.99,10.42,11.37,97.1,108.62,94.43,103.01,2351515.1,3307377.7,0.94,0.07
600580.SH,20201127,week,13.58,14.42,13.08,13.36,13.52,10.8,11.46,10.4,10.62,97.82,103.87,94.22,96.23,2793593.41,3834909.99,-0.16,-0.01
600580.SH,20201120,week,12.69,13.67,12.44,13.52,12.78,10.09,10.87,9.89,10.75,91.41,98.47,89.61,97.39,1418146.95,1848310.1,0.74,0.06
600580.SH,20201113,week,13.57,13.69,12.55,12.78,13.4,10.79,10.88,9.98,10.16,97.75,98.61,90.4,92.06,1251409.71,1644024.33,-0.62,-0.05
600580.SH,20201106,week,12.23,13.63,12.2,13.4,12.22,9.72,10.84,9.7,10.65,88.1,98.18,87.88,96.52,1835291.92,2393117.29,1.18,0.1
600580.SH,20201030,week,12.51,12.98,12.21,12.22,12.5,9.95,10.32,9.71,9.71,90.11,93.5,87.95,88.02,1020588.85,1286571.89,-0.28,-0.02
600580.SH,20201023,week,13.76,13.95,12.4,12.5,13.62,10.94,11.09,9.86,9.94,99.12,100.48,89.32,90.04,1226787.21,1599599.95,-1.12,-0.08
600580.SH,20201016,week,13.52,14.19,13.37,13.62,13.21,10.75,11.28,10.63,10.83,97.39,102.21,96.31,98.11,1618368.9,2220641.04,0.41,0.03
600580.SH,20201009,week,12.45,13.21,12.45,13.21,12.15,9.9,10.5,9.9,10.5,89.68,95.15,89.68,95.15,363667.41,471689.01,1.06,0.09
600580.SH,20201002,week,12.31,12.63,12.09,12.15,12.3,9.79,10.04,9.61,9.66,88.67,90.98,87.09,87.52,345482.17,428426.48,-0.15,-0.01
600580.SH,20200925,week,13.54,13.58,12.18,12.3,13.48,10.76,10.8,9.68,9.78,97.53,97.82,87.73,88.6,813370.09,1049155.04,-1.18,-0.09
600580.SH,20200918,week,12.92,13.55,12.69,13.48,12.92,10.27,10.77,10.09,10.72,93.07,97.6,91.41,97.1,1187986.85,1565717.46,0.56,0.04
600580.SH,20200911,week,12.56,13.01,11.92,12.92,12.58,9.98,10.34,9.48,10.27,90.47,93.71,85.86,93.07,980989.01,1231803.83,0.34,0.03
600580.SH,20200904,week,12.8,13.16,12.44,12.58,12.75,10.18,10.46,9.89,10.0,92.2,94.79,89.61,90.62,851362.67,1093962.59,-0.17,-0.01
600580.SH,20200828,week,13.28,13.77,12.49,12.75,13.2,10.56,10.95,9.93,10.14,95.66,99.19,89.97,91.84,1294973.74,1686092.02,-0.45,-0.03
600580.SH,20200821,week,13.65,14.43,13.14,13.2,13.63,10.85,11.47,10.45,10.49,98.32,103.94,94.65,95.08,1795336.81,2470488.37,-0.43,-0.03
600580.SH,20200814,week,12.28,13.98,12.21,13.63,12.37,9.76,11.11,9.71,10.84,88.46,100.7,87.95,98.18,2387431.02,3160092.54,1.26,0.1
600580.SH,20200807,week,12.1,12.85,12.1,12.37,12.08,9.62,10.22,9.62,9.83,87.16,92.56,87.16,89.1,1297882.4,1622125.48,0.29,0.02
600580.SH,20200731,week,12.0,12.27,11.59,12.08,11.99,9.54,9.75,9.21,9.6,86.44,88.38,83.49,87.01,1053043.83,1254600.78,0.09,0.01
600580.SH,20200724,week,12.1,13.64,11.99,11.99,11.89,9.62,10.84,9.53,9.53,87.16,98.25,86.37,86.37,2370580.74,3037494.28,0.1,0.01
600580.SH,20200717,week,12.92,13.44,11.77,11.89,12.81,10.27,10.68,9.36,9.45,93.07,96.81,84.78,85.65,2193198.7,2799731.38,-0.92,-0.07
600580.SH,20200710,week,11.99,13.2,11.99,12.81,11.86,9.53,10.49,9.53,10.18,86.37,95.08,86.37,92.27,2057316.55,2593738.05,0.95,0.08
600580.SH,20200703,week,11.3,11.98,10.96,11.86,11.4,8.98,9.52,8.71,9.43,81.4,86.29,78.95,85.43,1138666.26,1308815.54,0.46,0.04
600580.SH,20200626,week,11.65,12.08,11.34,11.4,11.71,9.26,9.6,9.02,9.06,83.92,87.01,81.68,82.12,676619.91,788898.06,-0.31,-0.03
600580.SH,20200619,week,11.37,11.78,11.18,11.71,11.47,9.04,9.36,8.89,9.31,81.9,84.85,80.53,84.35,1012659.06,1157347.62,0.24,0.02
